9 0.0000 
10 0.0000 
11 0.0000 
12 0.0000 
13 0.0000 
14 0.0000 
15 0.0000 
16 0.0000 
17 0.0001 
18 0.0001 
19 0.0002 
20 0.0004 
21 0.0006 
22 0.0010 
23 0.0015 
24 0.0023 
25 0.0033 
26 0.0047 
27 0.0064 
28 0.0086 
29 0.0115 
30 0.0148 
31 0.0189 
32 0.0235 
33 0.0285 
34 0.0340 
35 0.0397 
36 0.0453 
37 0.0504 
38 0.0549 
39 0.0583 
40 0.0606 
41 0.0612 
42 0.0605 
43 0.0582 
44 0.0549 
45 0.0504 
46 0.0452 
47 0.0396 
48 0.0340 
49 0.0286 
50 0.0234 
51 0.0189 
52 0.0148 
53 0.0115 
54 0.0087 
55 0.0064 
56 0.0046 
57 0.0033 
58 0.0022 
59 0.0015 
60 0.0010 
61 0.0006 
62 0.0004 
63 0.0002 
64 0.0001 
65 0.0001 
66 0.0000 
67 0.0000 
68 0.0000 
69 0.0000 
70 0.0000 
71 0.0000 
72 0.0000 
73 0.0000 
