11 0.0000 
12 0.0000 
13 0.0000 
14 0.0000 
15 0.0000 
16 0.0000 
17 0.0000 
18 0.0000 
19 0.0000 
20 0.0000 
21 0.0000 
22 0.0000 
23 0.0000 
24 0.0000 
25 0.0000 
26 0.0000 
27 0.0000 
28 0.0000 
29 0.0001 
30 0.0001 
31 0.0002 
32 0.0002 
33 0.0003 
34 0.0005 
35 0.0006 
36 0.0009 
37 0.0012 
38 0.0016 
39 0.0021 
40 0.0027 
41 0.0035 
42 0.0044 
43 0.0056 
44 0.0069 
45 0.0085 
46 0.0104 
47 0.0125 
48 0.0149 
49 0.0175 
50 0.0204 
51 0.0234 
52 0.0264 
53 0.0298 
54 0.0328 
55 0.0359 
56 0.0388 
57 0.0412 
58 0.0433 
59 0.0448 
60 0.0457 
61 0.0460 
